127.0.0.1 - - [01/Sep/2017:19:38:04 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:38:07 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:38:07 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:38:07 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:38:07 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:38:08 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:38:08 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:38:09 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:38:09 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:39:54 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:39:54 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:39:54 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:39:54 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:39:55 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:39:55 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:39:55 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:39:56 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:39:56 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:41:06 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:41:06 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:41:06 +0530] "GET /CollaborationFrontEnd/home/home.html HTTP/1.1" 200 2951
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:41:06 +0530] "GET /CollaborationFrontEnd/resources/images/friends1.jpg HTTP/1.1" 200 1840780
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:41:06 +0530] "GET /CollaborationFrontEnd/resources/images/jobs.jpg HTTP/1.1" 200 72530
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:41:06 +0530] "GET /CollaborationFrontEnd/resources/images/Forum.jpg HTTP/1.1" 200 166499
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:41:06 +0530] "GET /CollaborationFrontEnd/resources/images/conversation2.jpg HTTP/1.1" 200 47349
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:41:06 +0530] "GET /CollaborationFrontEnd/resources/images/blog1.jpg HTTP/1.1" 200 148788
0:0:0:0:0:0:0:1 - - [01/Sep/2017:19:41:06 +0530] "GET /CollaborationFrontEnd/resources/images/event2.jpg HTTP/1.1" 200 12302
