127.0.0.1 - - [10/Sep/2017:20:06:56 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:06:59 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:06:59 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:06:59 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:26:59 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:26:59 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:26:59 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:26:59 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:26:59 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:26:59 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 3405
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:26:59 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:26:59 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:27:00 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 200 10063
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:27:00 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:27:00 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:27:01 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:27:01 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:27:01 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 11583
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:27:01 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:27:01 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:27:02 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 200 382241
