127.0.0.1 - - [21/Jun/2017:15:20:21 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Jun/2017:15:20:24 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [21/Jun/2017:15:20:24 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:15:20:24 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:15:20:25 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:15:20:25 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:15:20:25 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:15:20:25 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [21/Jun/2017:15:20:53 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [21/Jun/2017:15:20:53 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [21/Jun/2017:15:20:53 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [21/Jun/2017:15:20:53 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [21/Jun/2017:15:20:53 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1332
