127.0.0.1 - - [23/Jun/2017:15:17:17 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:21 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:23 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:23 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:23 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:23 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:23 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:23 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:24 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:24 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:24 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:25 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:53 +0530] "GET /CollaborationFrontEnd/home/home.html HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:53 +0530] "GET /CollaborationFrontEnd/resources/images/blog1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:53 +0530] "GET /CollaborationFrontEnd/resources/images/friends1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:53 +0530] "GET /CollaborationFrontEnd/resources/images/conversation2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:53 +0530] "GET /CollaborationFrontEnd/resources/images/jobs.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:53 +0530] "GET /CollaborationFrontEnd/resources/images/Forum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:17:53 +0530] "GET /CollaborationFrontEnd/resources/images/event2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:18:07 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:18:11 +0530] "GET /CollaborationRestServices/getAllBlog HTTP/1.1" 200 10123
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:18:50 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:19:44 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:19:44 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:19:44 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:19:44 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:19:44 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:19:44 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 3292
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:19:44 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:19:44 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:19:44 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:19:44 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:20:02 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:20:02 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:20:02 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:20:02 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 11705
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:20:02 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:20:02 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:20:02 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 200 382241
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:22:28 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:22:28 +0530] "GET /CollaborationFrontEnd/home/home.html HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:22:28 +0530] "GET /CollaborationFrontEnd/resources/images/blog1.jpg HTTP/1.1" 200 148788
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:22:28 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:22:28 +0530] "GET /CollaborationFrontEnd/resources/images/jobs.jpg HTTP/1.1" 200 72530
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:22:28 +0530] "GET /CollaborationFrontEnd/resources/images/Forum.jpg HTTP/1.1" 200 166499
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:22:28 +0530] "GET /CollaborationFrontEnd/resources/images/friends1.jpg HTTP/1.1" 200 1840780
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:22:28 +0530] "GET /CollaborationFrontEnd/resources/images/event2.jpg HTTP/1.1" 200 12302
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:22:28 +0530] "GET /CollaborationFrontEnd/resources/images/conversation2.jpg HTTP/1.1" 200 47349
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:22:34 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 200 7457
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:22:34 +0530] "GET /CollaborationRestServices/getAllBlog HTTP/1.1" 200 10123
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:51:11 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:51:11 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:51:11 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:51:46 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:52:20 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:52:20 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:52:24 +0530] "GET /CollaborationRestServices/getAllBlog HTTP/1.1" 200 10123
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:54:11 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:54:29 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:54:51 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:54:51 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:54:54 +0530] "GET /CollaborationRestServices/getAllBlog HTTP/1.1" 200 10123
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:55:37 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:55:46 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:56:09 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:56:09 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:56:11 +0530] "GET /CollaborationRestServices/getAllBlog HTTP/1.1" 200 10123
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:56:48 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:56:49 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:56:49 +0530] "GET /CollaborationRestServices/getAllBlog HTTP/1.1" 200 10123
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:57:02 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:57:03 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:57:04 +0530] "GET /CollaborationRestServices/getAllBlog HTTP/1.1" 200 10123
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:57:24 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:57:24 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:57:24 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:57:24 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:57:24 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:57:24 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:57:24 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:57:24 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [23/Jun/2017:15:57:24 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1409
