127.0.0.1 - - [17/Oct/2017:16:33:58 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:00 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:00 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:01 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:01 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:19 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:19 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:19 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:19 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:19 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:19 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:19 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 200 10063
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:19 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:19 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:19 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:19 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 5407
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:21 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:21 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:21 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 11582
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:21 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:22 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:22 +0530] "GET /CollaborationFrontEnd/resources/images/books.jpg HTTP/1.1" 200 496437
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:31 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:31 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:31 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:31 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:31 +0530] "GET /CollaborationFrontEnd/home/home.html HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:31 +0530] "GET /CollaborationFrontEnd/resources/images/blogs.jpg HTTP/1.1" 200 67338
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:31 +0530] "GET /CollaborationFrontEnd/resources/images/forum.jpg HTTP/1.1" 200 396477
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:31 +0530] "GET /CollaborationFrontEnd/resources/images/events.jpg HTTP/1.1" 200 1206332
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:31 +0530] "GET /CollaborationFrontEnd/resources/images/Chat.png HTTP/1.1" 200 124642
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:31 +0530] "GET /CollaborationFrontEnd/resources/images/jobs.jpg HTTP/1.1" 200 26602
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:31 +0530] "GET /CollaborationFrontEnd/resources/images/friends.jpg HTTP/1.1" 200 45267
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:34 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:35 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:58 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:58 +0530] "GET /CollaborationFrontEnd/c_blog/BlogAdmin.html HTTP/1.1" 200 5241
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:58 +0530] "GET /CollaborationFrontEnd/User/login.html HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:58 +0530] "GET /CollaborationFrontEnd/User/UserProfile.html HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:58 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:34:59 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:40:08 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:40:25 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:40:31 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:40:31 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:40:33 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:40:37 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:40:37 +0530] "GET /CollaborationFrontEnd/c_blog/BlogAdmin.html HTTP/1.1" 200 5133
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:40:37 +0530] "GET /CollaborationFrontEnd/User/login.html HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:40:38 +0530] "GET /CollaborationFrontEnd/User/UserProfile.html HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:40:38 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:40:38 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:44:17 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:44:32 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:44:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:44:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:44:40 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:44:44 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:44:44 +0530] "GET /CollaborationFrontEnd/c_blog/BlogAdmin.html HTTP/1.1" 200 5127
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:44:44 +0530] "GET /CollaborationFrontEnd/User/login.html HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:44:44 +0530] "GET /CollaborationFrontEnd/User/UserProfile.html HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:44:44 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:44:45 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:58:23 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:58:40 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:58:45 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:58:45 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:58:47 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:58:50 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:58:50 +0530] "GET /CollaborationFrontEnd/c_blog/BlogAdmin.html HTTP/1.1" 200 5136
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:58:50 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:58:51 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:16:59:46 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:00:06 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:00:11 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:00:11 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:00:13 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:00:17 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:00:17 +0530] "GET /CollaborationFrontEnd/c_blog/BlogAdmin.html HTTP/1.1" 200 5133
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:00:17 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:00:17 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:02:57 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:02:57 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:03:00 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:03:04 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:03:04 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:03:05 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:04:30 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:04:59 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:05:03 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:05:03 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:05:05 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:05:08 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:05:08 +0530] "GET /CollaborationFrontEnd/c_blog/BlogAdmin.html HTTP/1.1" 200 5132
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:05:09 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:11:41 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:11:55 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:12:02 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:12:02 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:12:04 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:12:08 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:12:09 +0530] "GET /CollaborationFrontEnd/c_blog/BlogAdmin.html HTTP/1.1" 200 4974
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:12:09 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:14:45 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:14:59 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:14:59 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [17/Oct/2017:17:15:01 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
