127.0.0.1 - - [15/Jun/2017:15:07:25 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:27 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:28 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:28 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:28 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:28 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:28 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:28 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:29 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:29 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:29 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:29 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:29 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:30 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:30 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:49 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:49 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:49 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 2540
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:49 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:49 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:49 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:49 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:50 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:53 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:53 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:53 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 11705
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:53 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:54 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:54 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 200 382241
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:58 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:07:59 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:09:38 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 404 293
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:09:38 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 404 293
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:10:04 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 404 293
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:10:04 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 404 293
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:10:05 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 404 293
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:10:05 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 404 293
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:10:06 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 404 293
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:10:06 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 404 293
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:12:36 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:12:36 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:12:36 +0530] "GET /CollaborationFrontEnd/home/home.html HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:12:36 +0530] "GET /CollaborationFrontEnd/resources/images/blog1.jpg HTTP/1.1" 200 148788
0:0:0:0:0:0:0:1 - - [15/Jun/2017:15:12:36 +0530] "GET /CollaborationFrontEnd/resources/images/friends1.jpg HTTP/1.1" 200 1840780
