127.0.0.1 - - [11/Sep/2017:14:09:53 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:09:56 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:09:56 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:09:56 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:09:56 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:09:57 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:09:58 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:10:58 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:10:58 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:10:58 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:10:58 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:10:59 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:10:59 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:10:59 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:10:59 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:10:59 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:11:07 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:11:07 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:11:07 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:11:07 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:11:07 +0530] "GET /CollaborationFrontEnd/resources/images/event2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:11:07 +0530] "GET /CollaborationFrontEnd/resources/images/blog1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:11:07 +0530] "GET /CollaborationFrontEnd/resources/images/jobs.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:11:07 +0530] "GET /CollaborationFrontEnd/resources/images/Forum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:11:07 +0530] "GET /CollaborationFrontEnd/resources/images/conversation2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:11:07 +0530] "GET /CollaborationFrontEnd/resources/images/friends1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:11:10 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 6373
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:11:36 +0530] "GET /CollaborationRestServices//getBlogByUserid/6 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:19:49 +0530] "POST /CollaborationRestServices//createBlog HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:19:54 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:19:55 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:19:56 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 6926
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:20:26 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 6926
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:20:35 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:20:48 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:20:48 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:20:51 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 6926
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:20:56 +0530] "GET /CollaborationRestServices//getBlogByUserid/2 HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:21:12 +0530] "POST /CollaborationRestServices//addComment HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [11/Sep/2017:14:21:15 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 7317
