127.0.0.1 - - [09/Sep/2017:10:04:41 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:04:44 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:15 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:38 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:39 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:39 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:10:45 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 6373
