0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:19:17 +0530] "GET /CollaborationFrontEnd/resources/images/events.jpg HTTP/1.1" 200 1206332
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:19:23 +0530] "GET /CollaborationFrontEnd/c_job/job.html HTTP/1.1" 200 4147
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:19:23 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:19:23 +0530] "GET /CollaborationRestServices//getAllJob HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:20:27 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:20:27 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:21:12 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:21:13 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:21:26 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:21:34 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:21:34 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:21:41 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:21:43 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:21:43 +0530] "GET /CollaborationFrontEnd/c_blog/BlogAdmin.html HTTP/1.1" 200 4997
0:0:0:0:0:0:0:1 - - [01/Nov/2017:16:21:44 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:32 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:52 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 200 10063
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 5407
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 11582
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:53 +0530] "GET /CollaborationFrontEnd/resources/images/books.jpg HTTP/1.1" 200 496437
0:0:0:0:0:0:0:1 - - [01/Nov/2017:17:23:59 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
