127.0.0.1 - - [07/Sep/2017:12:33:16 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:33:20 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:34:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:34:27 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:34:43 +0530] "GET /CollaborationFrontEnd/home/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:36:48 +0530] "POST /CollaborationRestServices//registerUser HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:36:58 +0530] "POST /CollaborationRestServices//registerUser HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:38:41 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:38:41 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:40:01 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:40:48 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:41:26 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:41:26 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:41:30 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:42:20 +0530] "POST /CollaborationRestServices//createBlog HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:42:27 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:42:28 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:42:28 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:42:41 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:43:48 +0530] "POST /CollaborationRestServices//createBlog HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:43:54 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:43:55 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:43:56 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:44:23 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:44:42 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:44:42 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:44:48 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:45:54 +0530] "POST /CollaborationRestServices//createBlog HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:46:01 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:46:02 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:46:02 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:46:10 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:46:11 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:46:12 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:46:24 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:46:24 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:46:24 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:46:37 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:47:05 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:47:05 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:47:07 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:48:21 +0530] "POST /CollaborationRestServices//createBlog HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:48:38 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:48:39 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:48:39 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 2159
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:48:48 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:48:49 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:48:49 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 2159
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:48:53 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:48:54 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:48:54 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 2159
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:49:04 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:49:05 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:49:05 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 2159
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:49:43 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:50:00 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:50:00 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:50:03 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 2159
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:50:47 +0530] "POST /CollaborationRestServices//createBlog HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:50:52 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:50:52 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:50:52 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:51:19 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:51:53 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:51:54 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:51:57 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:53:01 +0530] "POST /CollaborationRestServices//createBlog HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:53:12 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:53:13 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:53:13 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:53:34 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:53:34 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:53:35 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:53:42 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:53:43 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:53:43 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:53:52 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:53:52 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [07/Sep/2017:12:53:52 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 3203
