127.0.0.1 - - [05/Jul/2017:16:02:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:17 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:17 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:17 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:17 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:17 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:17 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:17 +0530] "GET /CollaborationFrontEnd/c_blog1/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:17 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:17 +0530] "GET /CollaborationFrontEnd/c_blog1/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:17 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:37 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:50 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:51 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:51 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:51 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:51 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:51 +0530] "GET /CollaborationFrontEnd/c_blog1/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:51 +0530] "GET /CollaborationFrontEnd/c_blog1/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:51 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:02:51 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:04:11 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:04:37 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:04:37 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:04:37 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:04:37 +0530] "GET /CollaborationFrontEnd/c_blog1/BlogController.js HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:04:37 +0530] "GET /CollaborationFrontEnd/c_blog1/BlogService.js HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:04:37 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:04:37 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:04:37 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:04:37 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:04:37 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:04:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:06:06 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:06:24 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:07:34 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [05/Jul/2017:16:07:49 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:05:15 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:05:15 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:05:15 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:05:15 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:05:15 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:05:15 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:05:15 +0530] "GET /CollaborationFrontEnd/c_blog1/BlogService.js HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:05:15 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:05:15 +0530] "GET /CollaborationFrontEnd/c_blog1/BlogController.js HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:05:15 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:14:29 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:14:54 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:16:31 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:16:40 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:29:26 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:30:01 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:33:46 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:34:05 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:38:41 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:17:38:56 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
