0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:44:20 +0530] "GET /CollaborationFrontEnd/resources/images/sharadau.jpg HTTP/1.1" 200 131552
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:44:34 +0530] "GET /CollaborationFrontEnd/home/home.html HTTP/1.1" 200 2951
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:44:34 +0530] "GET /CollaborationFrontEnd/resources/images/blog1.jpg HTTP/1.1" 200 148788
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:44:34 +0530] "GET /CollaborationFrontEnd/resources/images/friends1.jpg HTTP/1.1" 200 1840780
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:44:34 +0530] "GET /CollaborationFrontEnd/resources/images/conversation2.jpg HTTP/1.1" 200 47349
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:44:34 +0530] "GET /CollaborationFrontEnd/resources/images/jobs.jpg HTTP/1.1" 200 72530
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:44:34 +0530] "GET /CollaborationFrontEnd/resources/images/Forum.jpg HTTP/1.1" 200 166499
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:44:35 +0530] "GET /CollaborationFrontEnd/resources/images/event2.jpg HTTP/1.1" 200 12302
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:44:49 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:50:52 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:40 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:40 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:40 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 200 10063
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:41 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:41 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:41 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:41 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:41 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:41 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:41 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:41 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 3405
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:42 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:42 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 11583
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:42 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:42 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:42 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:51:42 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 200 382241
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:57 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:57 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:57 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 200 10063
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:57 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:57 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:57 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:57 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 3405
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:57 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:57 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:57 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:57 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:58 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:58 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:58 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 11583
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:58 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:58 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [13/Jul/2017:17:54:59 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 200 382241
