127.0.0.1 - - [25/May/2017:15:41:39 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/May/2017:15:41:41 +0530] "GET /CollaborationRestServices/ HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [25/May/2017:15:41:56 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [25/May/2017:15:41:57 +0530] "GET /CollaborationFrontEnd/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:15:41:57 +0530] "GET /CollaborationFrontEnd/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:15:41:57 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:15:41:57 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:15:41:57 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:15:41:58 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 200 10296
0:0:0:0:0:0:0:1 - - [25/May/2017:15:41:58 +0530] "GET /CollaborationFrontEnd/resources/images/books.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:15:43:03 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:15:43:05 +0530] "GET /CollaborationFrontEnd/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:15:43:05 +0530] "GET /CollaborationFrontEnd/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:15:43:05 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:15:43:05 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:15:43:05 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:15:43:05 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 200 10300
0:0:0:0:0:0:0:1 - - [25/May/2017:15:44:00 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [25/May/2017:15:44:00 +0530] "GET /CollaborationFrontEnd/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [25/May/2017:15:44:00 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [25/May/2017:15:44:01 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [25/May/2017:15:44:01 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [25/May/2017:15:44:01 +0530] "GET /CollaborationFrontEnd/angular-route.js HTTP/1.1" 200 46300
0:0:0:0:0:0:0:1 - - [25/May/2017:15:44:02 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 200 10300
0:0:0:0:0:0:0:1 - - [25/May/2017:15:44:02 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/May/2017:15:44:02 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/May/2017:15:44:02 +0530] "GET /CollaborationFrontEnd/resources/images/books.jpg HTTP/1.1" 200 496437
0:0:0:0:0:0:0:1 - - [25/May/2017:15:46:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/May/2017:15:50:47 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:15:50:47 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:02:33 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:02:34 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:02:58 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:02:59 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:06:30 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:06:30 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 200 10307
0:0:0:0:0:0:0:1 - - [25/May/2017:16:09:54 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:09:55 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 200 10316
0:0:0:0:0:0:0:1 - - [25/May/2017:16:10:25 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:23:11 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [25/May/2017:16:23:12 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 200 10303
0:0:0:0:0:0:0:1 - - [25/May/2017:16:23:12 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [25/May/2017:16:25:23 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [25/May/2017:16:25:24 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 200 10303
0:0:0:0:0:0:0:1 - - [25/May/2017:16:25:24 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [25/May/2017:16:27:13 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:27:14 +0530] "GET /CollaborationFrontEnd/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:27:14 +0530] "GET /CollaborationFrontEnd/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:27:14 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:27:14 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:27:14 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [25/May/2017:16:27:14 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 200 10397
0:0:0:0:0:0:0:1 - - [25/May/2017:16:27:14 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:28:23 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:28:24 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 200 10397
0:0:0:0:0:0:0:1 - - [25/May/2017:16:28:24 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:29:26 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:29:28 +0530] "GET /CollaborationFrontEnd/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:29:28 +0530] "GET /CollaborationFrontEnd/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:29:28 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:16:29:28 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
