127.0.0.1 - - [23/Oct/2017:16:31:53 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:31 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 200 10063
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:31 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:31 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:31 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:31 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:31 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:31 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 5407
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:31 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:36 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:36 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:36 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 11582
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:36 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:36 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:37 +0530] "GET /CollaborationFrontEnd/resources/images/books.jpg HTTP/1.1" 200 496437
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:48 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:48 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:48 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:48 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:48 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:48 +0530] "GET /CollaborationFrontEnd/home/home.html HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:48 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:48 +0530] "GET /CollaborationFrontEnd/resources/images/blogs.jpg HTTP/1.1" 200 67338
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:48 +0530] "GET /CollaborationFrontEnd/resources/images/Chat.png HTTP/1.1" 200 124642
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:48 +0530] "GET /CollaborationFrontEnd/resources/images/forum.jpg HTTP/1.1" 200 396477
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:48 +0530] "GET /CollaborationFrontEnd/resources/images/events.jpg HTTP/1.1" 200 1206332
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:48 +0530] "GET /CollaborationFrontEnd/resources/images/friends.jpg HTTP/1.1" 200 45267
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:48 +0530] "GET /CollaborationFrontEnd/resources/images/jobs.jpg HTTP/1.1" 200 26602
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:50 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:51 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:54 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:54 +0530] "GET /CollaborationFrontEnd/c_blog/BlogAdmin.html HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:32:55 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:38:54 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:39:09 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:39:09 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:39:11 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:39:15 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:39:15 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:39:20 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:39:21 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:39:21 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:43:01 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:43:06 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:43:06 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:43:09 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:43:13 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:43:13 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:52:54 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:52:54 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:53:03 +0530] "GET /CollaborationFrontEnd/c_job/job.html HTTP/1.1" 200 4147
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:53:03 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:53:03 +0530] "GET /CollaborationRestServices//getAllJob HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:53:27 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:53:27 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:53:31 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [23/Oct/2017:16:53:31 +0530] "GET /CollaborationRestServices//getAllJob HTTP/1.1" 200 167
