127.0.0.1 - - [12/Sep/2017:11:55:46 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Sep/2017:11:55:50 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:11:55:50 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:09:56 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:09:56 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:09:56 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:28 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:28 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:28 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:28 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:28 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:28 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:28 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:28 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:28 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:29 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:29 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:29 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:29 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:29 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:29 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:29 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:29 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:29 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:29 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:29 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [12/Sep/2017:13:10:29 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 334
