127.0.0.1 - - [31/May/2017:14:56:48 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/May/2017:14:56:50 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:56:51 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:56:51 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:56:51 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:56:51 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:56:51 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:56:52 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:56:52 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:56:52 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:56:52 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [31/May/2017:14:56:52 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:56:53 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:58:19 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [31/May/2017:14:58:19 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [31/May/2017:14:58:19 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [31/May/2017:14:58:19 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [31/May/2017:14:58:19 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [31/May/2017:14:58:19 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [31/May/2017:14:58:21 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [31/May/2017:14:58:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [31/May/2017:14:58:21 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [31/May/2017:14:58:21 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 10595
0:0:0:0:0:0:0:1 - - [31/May/2017:14:58:21 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [31/May/2017:14:58:21 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [31/May/2017:14:58:21 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 200 382241
0:0:0:0:0:0:0:1 - - [31/May/2017:14:59:22 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [31/May/2017:14:59:22 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [31/May/2017:14:59:22 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 200 3627
0:0:0:0:0:0:0:1 - - [31/May/2017:15:16:49 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:07 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:07 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:07 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:07 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:07 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:07 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:09 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:09 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:09 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 10595
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:09 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:09 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:09 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 200 382241
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:50 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:50 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 200 3636
0:0:0:0:0:0:0:1 - - [31/May/2017:15:17:50 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [31/May/2017:15:48:02 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [31/May/2017:15:48:25 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [31/May/2017:15:48:25 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [31/May/2017:15:48:25 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [31/May/2017:15:48:25 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [31/May/2017:15:48:25 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [31/May/2017:15:48:25 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [31/May/2017:15:48:27 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [31/May/2017:15:48:27 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [31/May/2017:15:48:27 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 10595
0:0:0:0:0:0:0:1 - - [31/May/2017:15:48:27 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [31/May/2017:15:48:27 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [31/May/2017:15:48:27 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 200 382241
0:0:0:0:0:0:0:1 - - [31/May/2017:15:49:21 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [31/May/2017:15:49:21 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 200 3627
0:0:0:0:0:0:0:1 - - [31/May/2017:15:49:21 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [31/May/2017:15:56:12 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
